"actor_1_facebook_likes","actor_2_facebook_likes","actor_3_facebook_likes","cast_total_facebook_likes","director_facebook_likes","movie_facebook_likes"
23000,14000,11000,59558,22000,15000
1000,851,436,3285,35,0
49000,3000,1000,54039,189,2000
20000,16000,2000,40054,151,0
309,269,233,1062,0,0
1000,523,490,2582,69,58000
234,198,30,534,0,0
26000,20000,12000,59803,230,63000
27000,9000,943,40025,750,191000
15000,745,294,16948,2000,0
26000,20000,12000,60059,0,63000
17000,759,699,20007,59,0
730,607,182,2217,12,0
14000,897,502,16184,473,19000
40000,17000,16000,80849,13000,82000
10000,10000,641,21840,188,47000
12000,490,162,13071,394,0
2000,852,826,6576,58,0
11000,10000,15,21015,90,20000
1000,756,346,2857,0,18000
22000,10000,979,34817,14000,0
17000,551,256,18204,776,33000
921,562,433,2652,25,0
20000,14000,586,35161,42,0
20000,548,394,21393,456,24000
3000,1000,517,5810,50,11000
11000,5000,844,17944,249,0
851,770,436,2444,35,17000
769,766,746,2538,93,0
783,370,322,2097,176,62000
13000,12000,537,26029,0,11000
10000,3000,826,14823,188,2000
18000,12000,964,31523,0,3000
24000,11000,967,36095,5,24000
10000,10000,690,21768,663,35000
20000,315,161,20645,52,25000
957,550,233,1997,23,2000
10000,956,445,11945,380,0
23000,893,748,26490,0,51000
26000,12000,981,39284,14000,19000
24000,11000,4000,40484,0,5000
18000,3000,953,23378,255,46000
18000,934,284,19769,295,24000
820,780,653,2705,357,0
986,745,413,2530,0,18000
5000,808,91,6171,503,0
820,300,258,1814,0,0
17000,12000,934,31958,209,42000
11000,973,848,13073,42,0
12000,2000,422,15015,6,0
11000,3000,2000,19761,394,46000
766,536,244,2037,150,2000
613,172,168,1205,608,0
21000,17000,12000,59177,386,65000
49000,11000,988,62644,750,0
3000,1000,882,5811,255,0
982,321,184,1687,NA,0
535,400,358,1950,14000,27000
29000,27000,733,57108,0,190000
16000,881,463,17416,13,13000
40000,1000,939,43291,563,26000
19000,411,179,19963,35,11000
13000,897,883,17369,521,0
11000,967,562,12754,54,6000
2000,2000,680,5730,235,61000
34000,14000,523,49355,508,82000
17000,523,183,17883,12,26000
10000,1000,807,12758,14000,0
10000,898,877,12954,0,0
4000,442,397,5046,50,16000
11000,702,282,12406,176,23000
12000,9000,8000,32355,0,71000
2000,871,845,4631,14000,44000
11000,10000,10000,33284,0,11000
309,284,165,921,1000,0
10000,943,894,14168,0,37000
1000,558,388,2945,0,0
10000,570,159,11036,0,40
49000,3000,1000,53587,189,11000
24000,11000,8000,46120,96,13000
11000,687,645,13191,0,16000
16000,12000,1000,31549,124,20000
40000,5000,1000,48184,563,10000
10000,2000,1000,14719,0,25
34000,22000,14000,81385,508,52000
15000,574,362,16008,2000,0
688,237,56,1031,107,0
20000,505,346,20952,0,0
23000,14000,12000,55345,681,54000
21000,979,154,22403,0,39000
14000,1000,850,18003,255,15000
605,308,217,1441,719,0
845,372,241,1815,323,0
10000,826,602,12175,209,31000
920,890,409,2699,541,0
1000,722,636,4146,2000,0
15000,2000,812,20553,776,19000
10000,794,653,11930,610,0
784,638,461,2684,249,0
11000,2000,702,15302,167,0
774,358,341,2121,0,122000
12000,701,402,14017,160,0
13000,365,265,13752,521,31000
2000,1000,1000,4046,368,0
13000,9000,641,24098,0,97000
886,799,537,2682,50,459
13000,2000,1000,17689,662,61000
14000,850,567,17159,123,0
10000,2000,1000,14161,294,60000
690,107,87,902,0,0
273,216,157,993,274,0
10000,973,877,12731,446,11000
11000,10000,1000,22004,364,71000
20000,16000,4000,44042,0,10000
20000,16000,4000,42990,0,0
12000,1000,773,15013,0,0
20000,992,929,23755,446,68000
20000,14000,1000,37723,0,13000
16000,15000,12000,43286,16,28000
936,276,141,1609,0,291
12000,836,617,15046,610,0
26000,11000,9000,46719,19,16000
833,809,429,2690,473,62000
39,23,13,87,0,147000
650,293,268,1569,79,0
5000,833,799,8306,13,12000
596,360,78,1261,128,41000
49000,3000,1000,55486,189,3000
12000,2000,884,16718,62,52000
811,766,387,2958,55,0
13000,2000,1000,19454,776,4000
11000,8000,350,19359,0,0
11000,11000,322,22722,218,0
14000,5000,1000,22622,124,27000
29000,3000,827,34582,17000,0
480,392,116,1173,11,0
11000,1000,741,13391,1000,14000
669,554,432,1655,NA,0
6000,1000,1000,10583,263,71000
383,113,111,692,67,31000
12000,513,421,13607,6,304
6000,5000,943,12452,124,12000
20000,929,544,22254,189,36000
681,71,40,914,67,0
673,368,202,2027,101,894
11000,635,430,12908,151,123000
13000,300,297,13961,235,0
16000,5000,857,22342,0,21000
1000,1000,447,3175,153,0
10000,851,780,14196,0,0
760,743,434,2762,34,946
10000,981,466,12068,295,0
14000,5000,195,19600,0,0
979,886,692,3382,50,0
852,578,525,2480,63,5000
13000,801,372,14831,0,153000
5,NA,NA,5,0,0
19000,12000,3000,34839,0,0
752,631,591,3133,23,53
12000,11000,3000,29069,57,0
3000,933,695,6521,0,21000
10000,798,533,12546,14000,0
11000,10000,9000,35672,0,0
6000,1000,834,9125,258,0
1000,658,567,2776,13000,0
780,604,539,2829,0,13000
40000,23000,1000,64599,0,0
18000,782,561,20354,0,0
2000,1000,618,4528,0,0
18000,464,385,19906,12000,0
22000,713,708,24082,80,0
12000,8000,107,20233,285,16000
1000,773,383,3454,55,0
29000,11000,265,40978,16000,199000
2000,700,542,4842,21,0
558,452,253,2039,10,0
26000,13000,13000,57881,165,108000
12000,625,341,13679,226,0
3000,762,203,4487,14,0
925,468,279,1738,0,11000
14000,151,120,14552,77,17000
40000,11000,3000,55175,207,25000
1000,1000,595,3903,0,2000
29000,3000,452,33160,380,14000
29000,11000,4000,46057,17000,138000
920,710,680,2880,541,0
660,475,423,2031,719,0
15000,5000,1000,22686,670,124000
2000,653,577,4286,0,16000
827,825,566,3144,26,0
12000,3000,467,16235,420,21000
23000,770,720,26940,63,0
8000,735,526,10552,52,0
26000,13000,11000,52610,385,56000
1000,897,848,3962,19,37000
490,294,227,1195,6,881
26000,911,571,28328,2000,27000
3000,695,683,6161,31,416
13000,537,95,13761,521,0
144,42,36,309,20,33000
623,508,393,1722,342,578
12000,3000,591,15972,208,0
29000,14000,1000,47657,17000,0
23000,196,28,23240,611,13000
12000,11000,970,25590,9,0
11000,2000,465,13748,0,0
2000,820,557,4270,0,10000
8000,331,329,9271,116,18000
14000,13000,10000,39319,0,18000
962,740,722,4555,127,0
2000,919,442,3372,10,0
22000,1000,916,25354,20,14000
2000,520,502,4671,0,56000
873,560,310,2370,0,16000
1000,939,799,5641,475,11000
5000,857,416,6434,0,16000
16000,5000,857,23052,0,10000
12000,3000,766,17098,44,16000
11000,509,240,12150,165,0
40000,11000,968,54031,0,37000
693,595,527,2574,394,0
11000,1000,779,13118,81,47000
770,419,330,1614,70,0
13000,787,476,15481,212,66000
2000,973,877,5780,102,701
1000,723,55,1901,663,0
1000,903,810,3611,212,1000
8000,3000,1000,14024,0,9000
10000,826,602,12998,188,0
15000,1000,967,21275,487,0
18000,3000,1000,25780,12000,18000
191,165,141,664,420,0
11000,627,568,12890,0,0
622,526,56,1227,97,0
835,256,117,1258,107,0
3000,806,423,5095,0,70000
13000,1000,466,15419,368,0
29000,13000,1000,45648,17000,29000
2000,500,484,4478,7,12000
21000,1000,918,23484,0,0
18000,1000,585,20388,21000,54000
13000,559,489,14274,323,0
21000,979,727,23996,0,20000
11000,745,635,13379,335,0
12000,802,503,15237,21,0
35000,1000,1000,38450,12,0
10000,1000,919,14165,0,0
11000,600,503,13446,221,0
22000,11000,1000,35367,0,39000
3000,882,681,6217,14000,11000
691,569,441,2622,50,988
11000,1000,135,12289,0,15000
833,624,423,2356,719,0
591,249,249,2100,521,0
8000,956,918,10882,87,28000
18000,11000,3000,33154,101,0
11000,11000,886,23031,209,15000
192,117,84,475,176,0
11000,577,307,12499,12000,0
3000,933,281,4902,0,0
11000,560,350,12071,107,19000
49000,1000,957,55254,0,0
3000,643,612,5062,81,2000
11000,11000,2000,26088,79,979
14000,602,123,15149,0,0
919,691,183,2024,468,0
680,655,537,2523,2000,0
887,886,554,2728,96,788
12000,947,599,13808,378,0
22000,946,848,26239,101,0
15000,410,272,15838,0,23000
49000,20000,971,70996,750,0
13000,805,129,14161,521,0
11000,10000,936,23603,249,0
11000,1000,471,13028,0,0
14000,8000,5000,27694,545,19000
12000,11000,11000,37142,266,28000
283,142,118,662,36,0
544,183,148,996,NA,59000
18000,16000,820,36237,79,19000
2000,795,439,4182,36,372
2000,906,535,3768,420,0
14000,3000,213,17423,278,19000
10000,660,619,11951,12000,0
11000,2000,963,15226,278,0
14000,13000,11000,43499,0,0
4000,650,624,6081,28,863
14000,5000,1000,22226,168,49000
5000,35,29,5103,218,0
12000,3000,557,16930,532,0
670,442,330,2407,323,0
879,691,210,2380,252,0
584,227,159,1235,681,0
1000,579,561,2707,6,0
12000,11000,551,23950,102,10000
672,174,172,1460,99,941
813,388,87,1476,189,0
8000,886,809,11454,763,18000
10000,1000,719,12687,1000,36000
894,345,106,1439,36,0
611,592,571,2818,88,374
4000,2000,271,6355,67,0
409,107,20,578,38,46000
11000,1000,233,12700,153,7000
875,826,602,2662,0,0
975,760,615,3326,62,0
17000,4000,521,21863,218,0
3000,169,160,3632,0,3000
21000,15000,495,36928,21000,12000
3000,975,956,5839,55,0
11000,7000,1000,21276,293,0
26000,13000,5000,46355,13000,57000
10000,1000,898,12760,0,0
34000,14000,575,49942,378,140000
14000,670,461,16143,480,56000
920,811,390,2899,13000,0
13000,7000,925,22813,12,0
1000,533,443,3112,255,0
12000,8000,852,23907,56,0
11000,4000,3000,22750,75,0
13000,12000,110,25220,23,22000
11000,437,421,13693,88,0
1000,1000,733,4073,31,0
12000,11000,11000,39269,221,14000
13000,12000,11000,44798,88,0
18000,4000,343,22679,278,0
29000,223,163,29585,17000,53000
4000,3000,982,9913,91,0
1000,311,208,1804,77,0
12000,1000,805,17087,610,11000
11000,869,495,12831,163,0
15000,1000,818,16828,0,0
11000,3000,503,16325,221,19000
577,4,0,581,NA,55000
12000,878,744,15362,165,0
3000,982,915,5637,154,0
22000,20000,16000,61110,333,0
18000,15000,10000,44797,117,20000
49000,570,159,50005,10,0
14000,960,913,17786,101,0
13000,967,366,15001,30,0
1000,177,38,1267,189,0
18000,4000,71,22194,301,0
8000,137,67,8355,503,0
11000,8000,697,20411,452,82000
11000,643,397,12729,425,0
3000,642,375,4394,40,0
13000,503,495,14261,21,4000
3000,1000,269,5392,153,0
10000,882,427,12186,81,0
18000,1000,502,20056,438,0
898,577,87,1753,69,91
12000,11000,859,26839,266,16000
1000,960,474,2614,NA,0
340,243,62,814,11,607
891,639,102,1919,25,3000
9000,496,372,10731,31,0
20000,3000,820,25942,57,0
2000,277,163,2864,258,951
49000,448,129,49631,25,32000
11000,11000,658,25190,65,0
13000,13000,871,27114,0,0
20000,770,733,22590,13000,0
23,21,8,54,92,257
12000,1000,904,14831,93,0
13000,1000,1000,18132,84,0
981,274,183,1825,79,0
13000,10000,366,25126,357,0
882,396,210,1971,43,0
743,117,41,971,64,0
3000,739,695,5593,287,665
529,48,30,619,252,0
23000,18000,982,43887,503,0
766,674,582,4346,0,0
1000,971,231,2521,750,964
14000,788,612,16922,42,21000
2,0,0,2,14,995
563,80,14,683,0,941
67,63,7,152,63,0
1000,307,212,1890,0,785
795,172,74,1099,545,20000
163,94,20,370,0,138
1000,592,535,2827,2000,29000
2000,886,847,6458,28,17000
14000,12000,722,27842,62,0
622,161,18,848,18,15000
22000,12000,876,35867,420,0
24000,10000,1000,36925,394,0
14000,11000,553,27405,221,0
23000,787,771,25296,309,0
12000,11000,6000,30230,54,31000
1000,422,327,2323,101,0
22000,1000,924,28050,5,413
1000,904,745,4782,11,36000
1000,872,845,4714,45,0
7000,2000,1000,11905,275,56000
10000,2000,933,16785,776,16000
610,506,227,1635,14000,0
851,436,179,1777,35,0
16000,430,18,16479,0,17000
20000,764,505,21397,0,0
11000,11000,988,25763,335,0
12000,2000,904,15999,0,51000
835,590,241,1815,107,0
11000,427,328,12952,88,11000
719,339,260,1673,163,0
613,422,394,1970,212,893
2000,710,692,5320,16,509
11000,988,963,13312,255,105000
12000,11000,4000,28497,221,12000
15000,466,232,16199,14000,16000
1000,560,218,1990,NA,10000
3000,576,446,5174,87,1000
867,826,748,3424,258,0
22000,15000,15000,60646,0,0
22000,17000,11000,63165,10,0
912,549,525,2856,386,0
374,130,0,504,NA,0
12000,1000,680,15889,473,0
745,486,412,2529,14000,0
13000,1000,787,16580,845,0
19000,1000,925,25206,126,0
15000,509,104,15735,0,43000
11000,964,138,12522,274,0
12000,970,925,17299,27,0
13000,450,193,13934,272,0
919,303,249,1695,109,0
582,103,99,804,72,0
15000,1000,222,16691,763,30000
87000,13000,759,103354,17,0
13000,1000,886,15857,383,0
11000,982,541,14028,41,648
933,722,533,2542,545,0
3000,552,394,4368,10,0
3000,889,637,5580,253,683
2000,845,568,4397,212,1000
18000,13000,963,33645,0,0
7000,4000,1000,13616,22,70000
4000,2000,826,7067,0,42000
12000,854,697,15269,0,880
548,270,215,1044,272,0
22000,1000,415,24350,6,14000
11000,1000,715,13827,72,0
11000,561,130,11852,0,0
3000,638,461,5187,532,0
8000,1000,989,12410,285,0
1000,692,574,3287,41,266
906,466,403,1976,0,17000
15000,383,210,15850,0,0
745,440,433,3086,30,0
940,826,745,4310,0,0
13000,658,462,14780,212,886
21,17,8,55,218,2000
3000,2000,882,7273,0,0
1000,1000,595,4166,84,694
710,529,242,1675,0,0
692,309,48,1148,80,0
1000,843,769,4905,487,0
8000,3000,995,12790,0,0
14000,223,212,14790,357,10000
870,861,726,5217,5,16000
960,848,808,3667,2000,1000
13000,11000,11000,36741,16000,42000
49000,8000,5000,64259,14000,13000
13000,982,576,16595,212,0
10000,1000,1000,14486,69,0
898,372,160,1430,NA,14000
10000,834,509,11458,488,0
3000,579,559,5609,0,0
886,766,727,3222,545,0
1000,1000,1000,5227,84,2000
4000,973,841,6181,130,5000
18000,11000,992,31782,845,45000
1000,906,748,6207,906,1000
833,697,464,4001,473,25000
12000,1000,883,16138,13000,26000
443,277,184,1439,0,0
25000,19000,979,46726,14000,28000
13000,13000,559,27674,0,34000
2000,650,638,4074,0,0
903,592,17,1579,0,13000
3000,692,423,5178,28,37000
18000,13000,774,32563,380,0
15000,588,271,16034,905,15000
11000,691,400,12226,218,0
17000,1000,244,18510,2000,0
12000,405,384,12993,541,792
12000,585,452,13517,43,0
989,229,150,1576,84,531
5000,327,324,5861,24,24000
394,217,66,712,163,33000
13000,787,407,15916,40,997
26000,22000,748,49608,5,17000
1000,841,390,2763,323,584
349,324,298,1846,8,391
11000,893,695,13628,13,815
2000,509,443,3734,101,2000
2000,1000,854,6946,6,5000
26000,326,301,28129,0,11000
11000,1000,582,12871,14,0
844,729,246,1899,105,764
13000,1000,585,15708,101,34000
576,358,182,1520,212,12000
11000,655,497,12556,31,0
21000,17000,10000,52547,171,29000
22000,10000,580,32871,0,0
7000,2000,975,11608,275,31000
584,220,97,1132,29,617
14000,11000,3000,30010,3000,30000
614,451,334,1829,448,29000
1000,855,776,3986,18,0
966,919,681,3393,101,10000
14000,826,680,18216,0,0
788,562,531,3524,44,12000
29000,149,135,29824,0,0
7000,1000,982,10419,116,0
3000,3000,911,8281,335,98000
537,427,232,1302,36,0
995,363,359,2465,NA,0
940,826,745,4230,38,0
14000,394,112,14625,4,0
15000,14000,13000,44998,14000,22000
3000,3000,464,7081,76,32000
2000,955,912,5838,278,0
1000,939,835,5437,77,3000
11000,599,354,12194,759,4000
23000,826,655,25517,14000,71000
18000,145,99,18563,0,25000
15000,968,552,17171,2000,5000
901,857,775,5265,54,1000
20000,13000,11000,46204,0,144000
15000,793,744,17768,0,0
8000,3000,105,11264,285,0
12000,174,94,12396,258,0
21000,561,490,23018,480,25000
769,698,465,2938,11000,35000
16000,495,416,17771,16000,0
13000,730,369,15229,212,0
848,517,461,2913,610,0
13000,718,577,16452,226,0
12000,1000,625,14421,0,0
8000,4000,403,12850,179,0
600,346,174,1375,119,59000
10000,580,521,11424,0,10000
2000,1000,929,4796,87,16000
10000,806,523,11943,43,23000
27000,1000,520,29808,368,18000
16000,1000,957,19764,687,0
1000,1000,919,3860,468,0
509,317,210,1409,0,688
14000,1000,974,17913,545,32000
26000,872,805,28643,545,0
394,380,263,1531,212,4000
324,192,184,1013,138,892
17000,14000,539,32232,4000,0
11000,783,637,13209,21000,48000
11000,529,383,12088,368,0
1000,773,575,3537,NA,0
13000,773,554,15944,36,0
975,909,506,3580,0,177
623,593,568,3165,72,15000
268,85,25,450,2000,0
3000,1000,1000,7048,38,0
23000,13000,6000,49433,436,32000
11000,1000,970,16710,521,295
963,580,221,2131,175,40000
177,27,16,253,670,26000
645,522,481,2725,116,0
12000,9000,668,23365,42,0
967,610,191,2129,14000,19000
2000,925,812,5708,759,0
11000,913,672,14178,176,0
21,18,7,58,10,0
979,862,723,6334,322,0
11000,919,563,14931,84,0
524,517,452,2668,0,0
3000,966,645,6658,12,0
11000,904,867,14536,11,0
46000,1000,1000,49912,16000,114000
8000,1000,970,13232,8,0
989,664,439,2558,25,0
18000,13000,447,32360,0,13000
22000,713,708,24938,116,0
2000,899,664,4811,64,11000
15000,745,693,17716,0,30000
419,330,311,1412,12,0
925,729,397,2252,10,912
835,812,625,4348,21000,146000
13000,147,73,13249,218,0
394,387,345,1784,258,0
577,501,475,2321,165,885
2000,617,576,3698,608,18000
770,263,145,1195,59,0
1000,955,522,4050,41,886
18000,497,459,20148,175,22000
3000,664,405,4171,6,0
26000,9000,82,35084,473,0
1000,976,268,2636,30,0
13000,11000,754,25788,35,0
4000,722,721,8172,0,0
10000,3000,695,14006,12000,0
12000,3000,2000,20348,163,781
988,960,240,2517,47,24000
11000,8000,745,20440,708,26000
12000,3000,627,16646,420,0
13000,11000,357,24928,124,32000
14000,2000,1000,20761,0,0
19000,1000,380,20683,0,0
10000,851,680,13581,0,0
12000,1000,416,14611,55,0
2000,1000,579,4496,13,0
10000,3000,1000,16385,188,38000
1000,975,811,3697,212,0
433,208,6,679,197,0
13000,240,175,13634,0,42000
658,257,226,1233,18,858
309,229,57,647,253,10000
11000,946,751,13654,0,6000
18000,992,451,20454,12000,14000
21000,936,722,24664,48,747
881,869,767,3943,480,0
854,628,626,4530,32,0
366,334,160,1112,0,0
3000,552,521,4713,234,1000
10000,884,586,13597,28,12000
24000,13000,460,38227,105,0
834,780,716,3637,610,0
1000,944,672,3653,50,829
9000,2000,903,13403,18,0
732,607,402,2064,NA,0
966,680,107,2018,11,797
789,520,488,2318,14,1000
539,394,288,1411,0,17000
34000,22000,14000,75793,737,24000
18000,992,864,20276,24,28000
1000,720,672,3090,0,0
650,467,295,1640,845,0
874,668,642,3151,7,11000
1000,967,944,4294,165,0
11000,8000,2000,22128,97,64000
1000,759,642,4305,11,621
23000,18000,11000,53024,38,0
33000,301,300,34738,181,40000
10000,1000,485,12258,11000,0
13000,11000,204,24458,16000,23000
18000,748,379,19776,162,0
8000,1000,896,10623,209,0
1000,417,230,2151,80,448
310,219,206,1352,69,690
12000,10000,480,22668,2,0
27000,1000,906,31224,53,0
436,399,210,1395,0,0
16000,897,461,17871,39,11000
2000,1000,896,7053,258,0
510,344,308,1976,0,956
22000,394,236,22889,11000,846
22000,14000,1000,38809,50,0
13000,968,652,16536,17,0
21000,939,569,23745,456,0
13000,10000,9000,34774,0,0
22000,11000,947,36897,488,15000
13000,1000,265,14918,25,470
287,233,218,993,93,0
865,441,77,1417,124,20000
11000,102,82,11301,0,880
722,585,552,2525,545,10000
780,265,256,2109,293,0
19000,972,854,22833,0,0
11000,779,579,12634,23,2000
968,848,507,3012,37,0
889,290,68,1262,394,589
20000,882,778,22447,167,17000
5000,2000,1000,10247,91,44000
973,400,196,1865,48,791
794,329,87,1467,179,0
11000,1000,1000,15275,2000,641
3000,1000,466,5329,34,0
19000,961,437,20881,436,2000
40000,2000,280,42683,192,12000
26000,368,102,26564,892,0
11000,708,617,12947,258,0
879,107,22,1026,3,426
11000,298,242,12133,131,0
16000,805,361,18239,84,117000
743,730,440,2367,65,296
14000,962,318,16277,16000,112000
2000,1000,543,5497,11,35000
870,558,271,2433,NA,990
970,834,512,2876,70,0
1000,891,809,6299,32,500
13000,1000,349,14574,10,2000
142,117,110,589,0,472
12000,11000,11000,36167,153,0
963,935,727,3150,30,0
1000,847,839,5081,189,22000
14000,1000,529,16098,545,19000
1000,664,519,4416,143,0
962,722,479,2558,NA,0
18000,14000,9000,45271,138,11000
11000,3000,622,16484,51,12000
2000,663,40,2710,357,0
4000,3000,455,9814,420,782
12000,1000,1000,16121,83,18000
23000,243,58,23325,108,0
883,701,676,4115,NA,0
14000,799,650,16884,163,0
12000,795,348,14146,10,0
15000,294,194,15700,0,59000
1000,718,639,2847,25,0
22000,713,708,24286,116,0
23000,2000,752,26754,12,0
10000,593,467,12940,503,0
851,773,744,3155,293,960
10000,975,681,13426,72,0
3000,562,458,4518,39,5000
3000,864,729,5713,58,0
15000,535,186,16281,521,65000
15000,11000,7000,39822,189,0
795,419,394,2638,52,0
18000,17000,683,37605,845,56000
5000,827,708,7184,61,0
18000,10000,665,30132,12000,0
10000,617,168,11036,125,32000
931,507,354,2287,124,0
2000,812,383,3888,272,0
12000,702,539,13905,52,0
926,890,640,3983,16000,13000
21000,860,490,22458,0,0
847,440,72,1359,NA,0
890,387,348,1959,16000,0
13000,549,403,14432,96,0
13000,11000,812,25599,0,8000
485,110,95,939,9,0
1000,780,263,2916,53,0
1000,549,497,2820,70,14000
5000,962,947,7247,50,0
1000,591,562,3104,39,0
534,273,243,1543,21000,0
57,40,34,164,317,0
22000,2000,135,24270,287,0
1000,416,163,1752,81,0
838,722,594,3697,17,30000
622,591,537,2488,82,15000
933,518,215,2248,607,0
12000,509,241,13406,226,0
13000,390,327,14036,101,0
8000,509,490,10026,3,0
4000,796,591,6254,91,0
11000,963,539,12840,16000,14000
18000,11000,581,31014,99,1000
22000,617,552,24618,12000,0
18000,893,530,20660,541,0
13000,2000,877,16899,159,0
9000,460,352,10185,45,0
789,640,67,1671,33,953
995,879,745,3952,0,316
939,605,506,3742,11,610
3000,2000,518,6089,33,10000
956,579,287,2260,906,437
2000,828,676,4315,59,19000
226,52,46,405,0,0
617,367,177,1403,0,0
13000,854,534,15803,13,448
12000,919,845,15371,0,0
10000,3000,835,14727,125,26000
13000,11000,565,25418,394,10000
14000,1000,889,16949,0,0
5000,4000,2000,12700,488,0
277,245,240,847,94,0
593,467,420,2908,44,0
117,62,43,286,102,2000
14000,12000,581,27614,234,0
23000,1000,577,26527,309,0
4000,808,753,6017,383,0
1000,691,653,2601,1000,10000
12000,708,303,13390,17,361
40000,19000,3000,63769,108,44000
23000,638,310,24468,16000,0
18000,1000,963,22517,473,21000
16000,3000,1000,22186,0,0
852,637,466,2397,438,853
21000,3000,681,26334,161,672
29000,15000,3000,48153,14000,15000
1000,1000,304,2759,0,39000
4000,957,931,8315,235,0
14000,11000,838,26002,58,10000
14000,12000,11000,45696,0,9000
631,534,379,2297,422,0
648,568,463,1937,0,0
16000,10000,634,28045,71,13000
134,27,21,209,869,0
22000,721,574,24183,17000,11000
211,135,75,488,180,0
961,691,343,2422,13,846
889,624,79,1711,101,0
677,560,523,2055,176,605
2000,1000,728,5468,14,1000
21000,17000,12000,64040,129,13000
145,50,21,275,80,0
13000,963,593,14607,53,36000
25000,11000,720,38518,58,0
10000,743,597,12182,488,0
15000,3000,1000,21773,3000,74000
625,440,285,1474,274,11000
49000,22000,878,74382,293,0
11000,8000,7000,28176,285,41000
12000,11000,828,26826,65,0
1000,560,417,3388,14000,37000
8000,883,658,10003,0,0
11000,1000,651,14087,80,0
17000,920,584,19428,97,24000
11000,10000,4000,25697,277,11000
14000,11000,1000,29505,235,0
12000,919,569,14569,43,10000
8000,818,701,9988,0,0
8000,2000,322,10886,51,13000
40000,11000,10000,62837,252,90000
